date,year,month,county,population,deaths,death_rate,display_name,mortality_factor
1987-06-15,87,6,Rest of State,11397059,4418.626100198062,38.76988002078485,,
1987-06-15,87,6,Kings,2736074,1065.922562407007,38.95810429129501,Brooklyn,1.0259200000000002
1987-06-15,87,6,Queens,2405464,717.420988683353,29.824640430426438,Queens,0.7854
1987-06-15,87,6,New York,1694251,467.70561650424474,27.60545022574841,Manhattan,0.72696
1987-06-15,87,6,Bronx,1472654,682.4757741927048,46.343253350257754,Bronx,1.2204000000000002
1987-06-15,87,6,Richmond,495747,197.44088679924104,39.82694535705532,Staten Island,1.0488
1987-07-15,87,7,Rest of State,11397059,4659.529234108248,40.883610711397104,,
1987-07-15,87,7,Kings,2736074,1098.267175981212,40.14025848647412,Brooklyn,1.0024000000000002
1987-07-15,87,7,Queens,2405464,740.9782724428792,30.803964326337006,Queens,0.76925
1987-07-15,87,7,New York,1694251,484.20866199008714,28.579511653827392,Manhattan,0.7137
1987-07-15,87,7,Bronx,1472654,700.5776348634716,47.57245319426502,Bronx,1.1880000000000002
1987-07-15,87,7,Richmond,495747,203.18285038812442,40.98519010465508,Staten Island,1.0234999999999999
1987-08-15,87,8,Rest of State,11397059,4492.53315064826,39.4183547759844,,
1987-08-15,87,8,Kings,2736074,1083.751451027451,39.60972733293949,Brooklyn,1.0259200000000002
1987-08-15,87,8,Queens,2405464,729.4207524113305,30.323494860506347,Queens,0.7854
1987-08-15,87,8,New York,1694251,475.52857816947153,28.06718592283384,Manhattan,0.72696
1987-08-15,87,8,Bronx,1472654,693.8910354821895,47.11840225077917,Bronx,1.2204000000000002
1987-08-15,87,8,Richmond,495747,200.74333268416194,40.49310085268533,Staten Island,1.0488
1987-09-15,87,9,Rest of State,11397059,4361.6443284769175,38.26991093471498,,
1987-09-15,87,9,Kings,2736074,1088.3595551819124,39.77814763715866,Brooklyn,1.0612000000000001
1987-09-15,87,9,Queens,2405464,730.0121455453911,30.34808026831377,Queens,0.8096249999999999
1987-09-15,87,9,New York,1694251,474.30581591692135,27.995014665295834,Manhattan,0.74685
1987-09-15,87,9,Bronx,1472654,700.5024482137569,47.56734767391097,Bronx,1.269
1987-09-15,87,9,Richmond,495747,201.94683803590604,40.73586689095568,Staten Island,1.0867499999999999
1987-10-15,87,10,Rest of State,11397059,4745.848155626418,41.64098962395841,,
1987-10-15,87,10,Kings,2736074,1223.599972020707,44.72101164006189,Brooklyn,1.0964800000000001
1987-10-15,87,10,Queens,2405464,818.0836244888716,34.00938964328178,Queens,0.83385
1987-10-15,87,10,New York,1694251,529.8302814100308,31.272242507753035,Manhattan,0.76674
1987-10-15,87,10,Bronx,1472654,791.3984808479189,53.73960759607612,Bronx,1.3176
1987-10-15,87,10,Richmond,495747,227.40902419569184,45.87199200311688,Staten Island,1.1246999999999998
1987-11-15,87,11,Rest of State,11397059,4625.678676650142,40.58659937313777,,
1987-11-15,87,11,Kings,2736074,1243.7816094936522,45.45862463857528,Brooklyn,1.14352
1987-11-15,87,11,Queens,2405464,828.2558243200409,34.43226854860604,Queens,0.8661500000000001
1987-11-15,87,11,New York,1694251,534.2762061312665,31.534654908349854,Manhattan,0.79326
1987-11-15,87,11,Bronx,1472654,809.2952169153622,54.954878533271376,Bronx,1.3824
1987-11-15,87,11,Richmond,495747,231.62282705819618,46.72198259559739,Staten Island,1.1753
1987-12-15,87,12,Rest of State,11397059,4778.006185211618,41.923150395304766,,
1987-12-15,87,12,Kings,2736074,1364.0142819391497,49.852974807667835,Brooklyn,1.2140800000000003
1987-12-15,87,12,Queens,2405464,903.3869909881629,37.55562298950069,Queens,0.9146000000000001
1987-12-15,87,12,New York,1694251,579.5452886521336,34.2065779304326,Manhattan,0.8330400000000001
1987-12-15,87,12,Bronx,1472654,894.7234450387431,60.7558493059974,Bronx,1.4796000000000002
1987-12-15,87,12,Richmond,495747,254.70097302248206,51.377209145487925,Staten Island,1.2512
1988-01-15,88,1,Rest of State,11397059,5056.144932325719,44.36359355800228,,
1988-01-15,88,1,Kings,2736074,1499.3424346918944,54.799045445843,Brooklyn,1.2611200000000002
1988-01-15,88,1,Queens,2405464,989.7364358296899,41.145343926564266,Queens,0.9469000000000001
1988-01-15,88,1,New York,1694251,632.8059123695743,37.35018674149074,Manhattan,0.8595600000000001
1988-01-15,88,1,Bronx,1472654,988.2733736215478,67.10832100558228,Bronx,1.5444000000000002
1988-01-15,88,1,Richmond,495747,280.4277208332369,56.5667005212814,Staten Island,1.3018
1988-02-15,88,2,Rest of State,11397059,4655.580002404802,40.848959388600186,,
1988-02-15,88,2,Kings,2736074,1354.811891479502,49.51663922392092,Brooklyn,1.2376
1988-02-15,88,2,Queens,2405464,895.7828976254949,37.23950546029768,Queens,0.9307500000000002
1988-02-15,88,2,New York,1694251,573.6842826120849,33.86064299871063,Manhattan,0.8463
1988-02-15,88,2,Bronx,1472654,890.8885403307374,60.495441585785755,Bronx,1.5120000000000002
1988-02-15,88,2,Richmond,495747,253.1930462453777,51.073036497523475,Staten Island,1.2765
1988-03-15,88,3,Rest of State,11397059,5162.210012361117,45.294229084548185,,
1988-03-15,88,3,Kings,2736074,1430.8717227916677,52.2965286315965,Brooklyn,1.1788
1988-03-15,88,3,Queens,2405464,950.1770878462847,39.50078188018132,Queens,0.890375
1988-03-15,88,3,New York,1694251,611.196912610081,36.07475590158017,Manhattan,0.81315
1988-03-15,88,3,Bronx,1472654,934.9170712584635,63.48518194079964,Bronx,1.4310000000000003
1988-03-15,88,3,Richmond,495747,266.8352060617783,53.82487560424538,Staten Island,1.2132500000000002
1988-04-15,88,4,Rest of State,11397059,4636.398019845208,40.68065296358655,,
1988-04-15,88,4,Kings,2736074,1195.3809522189931,43.68964261269955,Brooklyn,1.0964800000000001
1988-04-15,88,4,Queens,2405464,799.2167410900555,33.2250551698157,Queens,0.83385
1988-04-15,88,4,New York,1694251,517.611180768858,30.55103292067457,Manhattan,0.76674
1988-04-15,88,4,Bronx,1472654,773.1470180228481,52.500249075672095,Bronx,1.3176
1988-04-15,88,4,Richmond,495747,222.16445088447406,44.8140787305771,Staten Island,1.1246999999999998
1988-05-15,88,5,Rest of State,11397059,4658.400882192977,40.87371033345512,,
1988-05-15,88,5,Kings,2736074,1162.4091122929829,42.48456409779059,Brooklyn,1.0612000000000001
1988-05-15,88,5,Queens,2405464,779.6805440134904,32.41289597406115,Queens,0.8096249999999999
1988-05-15,88,5,New York,1694251,506.5765259379148,29.899733034710607,Manhattan,0.74685
1988-05-15,88,5,Bronx,1472654,748.1630726815406,50.803723935258425,Bronx,1.269
1988-05-15,88,5,Richmond,495747,215.6868505578161,43.507444433918124,Staten Island,1.0867499999999999
1988-06-15,88,6,Rest of State,11397059,4464.324352766505,39.17084532743496,,
1988-06-15,88,6,Kings,2736074,1076.9465317066706,39.36101624834235,Brooklyn,1.0259200000000002
1988-06-15,88,6,Queens,2405464,724.840689919736,30.13309240627737,Queens,0.7854
1988-06-15,88,6,New York,1694251,472.54271493846886,27.890950923946264,Manhattan,0.72696
1988-06-15,88,6,Bronx,1472654,689.5340655243708,46.82254389180152,Bronx,1.2204000000000002
1988-06-15,88,6,Richmond,495747,199.48285715556617,40.23884302992578,Staten Island,1.0488
1988-07-15,88,7,Rest of State,11397059,4502.6883178856915,39.5074581774622,,
1988-07-15,88,7,Kings,2736074,1061.299228902537,38.78912737384065,Brooklyn,1.0024000000000002
1988-07-15,88,7,Queens,2405464,716.0367589740426,29.767095203837705,Queens,0.76925
1988-07-15,88,7,New York,1694251,467.9100776538183,27.617518163118586,Manhattan,0.7137
1988-07-15,88,7,Bronx,1472654,676.9960169324818,45.971152553993115,Bronx,1.1880000000000002
1988-07-15,88,7,Richmond,495747,196.34366496520414,39.605618383006686,Staten Island,1.0234999999999999
1988-08-15,88,8,Rest of State,11397059,4472.786992131031,39.245098161999785,,
1988-08-15,88,8,Kings,2736074,1078.9880075029048,39.4356295737215,Brooklyn,1.0259200000000002
1988-08-15,88,8,Queens,2405464,726.2147086672144,30.190213142546067,Queens,0.7854
1988-08-15,88,8,New York,1694251,473.43847390776966,27.943821423612537,Manhattan,0.72696
1988-08-15,88,8,Bronx,1472654,690.8411565117165,46.911301399494825,Bronx,1.2204000000000002
1988-08-15,88,8,Richmond,495747,199.8609998141449,40.31512037675365,Staten Island,1.0488
1988-09-15,88,9,Rest of State,11397059,4413.548516579346,38.72532832004595,,
1988-09-15,88,9,Kings,2736074,1101.3111887450655,40.251513253847136,Brooklyn,1.0612000000000001
1988-09-15,88,9,Queens,2405464,738.6993939466556,30.709226741562365,Queens,0.8096249999999999
1988-09-15,88,9,New York,1694251,479.9501226126084,28.3281593230642,Manhattan,0.74685
1988-09-15,88,9,Bronx,1472654,708.8385270180081,48.133405879317756,Bronx,1.269
1988-09-15,88,9,Richmond,495747,204.3500341423998,41.220629503032754,Staten Island,1.0867499999999999
1988-10-15,88,10,Rest of State,11397059,4814.677622457899,42.24491267841904,,
1988-10-15,88,10,Kings,2736074,1241.345953545496,45.36960453355779,Brooklyn,1.0964800000000001
1988-10-15,88,10,Queens,2405464,829.9483655953435,34.50263091010065,Queens,0.83385
1988-10-15,88,10,New York,1694251,537.5144581019024,31.72578668107042,Manhattan,0.76674
1988-10-15,88,10,Bronx,1472654,802.8762048925511,54.518998005814744,Bronx,1.3176
1988-10-15,88,10,Richmond,495747,230.7071579274886,46.53727766935324,Staten Island,1.1246999999999998
1988-11-15,88,11,Rest of State,11397059,4554.59250598812,39.96287556279318,,
1988-11-15,88,11,Kings,2736074,1224.6675123115324,44.76002887025469,Brooklyn,1.14352
1988-11-15,88,11,Queens,2405464,815.5274142865825,33.90312281898971,Queens,0.8661500000000001
1988-11-15,88,11,New York,1694251,526.0655948405555,31.05003891634448,Manhattan,0.79326
1988-11-15,88,11,Bronx,1472654,796.8581883348845,54.110346920246336,Bronx,1.3824
1988-11-15,88,11,Richmond,495747,228.063310506259,46.003971886115096,Staten Island,1.1753
1988-12-15,88,12,Rest of State,11397059,4965.312603146469,43.56661313367307,,
1988-12-15,88,12,Kings,2736074,1417.4860898980348,51.807300895298695,Brooklyn,1.2140800000000003
1988-12-15,88,12,Queens,2405464,938.8013824166751,39.02787081480642,Queens,0.9146000000000001
1988-12-15,88,12,New York,1694251,602.2645041241502,35.54753717862054,Manhattan,0.8330400000000001
1988-12-15,88,12,Bronx,1472654,929.7982099168706,63.13758764223441,Bronx,1.4796000000000002
1988-12-15,88,12,Richmond,495747,264.68570829742174,53.39128795482812,Staten Island,1.2512
1989-01-15,89,1,Rest of State,11397059,5093.944721487271,44.69525621905854,,
